NAME,SMILES,PCE/%,Anchoring Group,Linker Group,Functional Head
T-NP,c1(c2ccc3c4c2cccc4C(=O)N(C3=O)CCC(=O)O)ccc(cc1)C(F)(F)F,4.41,0100000,2000001000,00011001001000000
PN-P,C1CCCCN1c1ccc2c3c1cccc3C(=O)N(C2=O)CCC(=O)O,5.45,0100000,2000001000,00000000000000100
MxPPA,c1cc(ccc1OC)P(=O)(O)O,5.92,1000000,0100000000,00000100000000000
MyPPA,c1cc(ccc1C)P(=O)(O)O,7.57,1000000,0100000000,00010000000000000
EA-50,c1(ccc(cc1)C(=O)O)c1cc(c(s1)c1cc(c(s1)c1cc(c(c(c1)F)F)F)CCCCCC)CCCCCC,8.71,0100000,6100020000,00001001021000000
EA-56,c1(ccc(cc1)C(=O)O)c1cc(c(s1)c1cc(c(s1)c1cc(cc(c1)F)F)CCCCCC)CCCCCC,9.09,0100000,6100020000,00001001041000000
EA-46,c1(ccc(cc1)C(=O)O)c1cc(c(s1)c1cc(c(s1)c1cc(c(c(c1)OC)OC)OC)CCCCCC)CCCCCC,10.24,0100000,6100020000,00000101041000000
3a,c1cc2c3c4c1C(=O)N(C(=O)c4ccc3C(=O)N(C2=O)c1ccc(cc1)C(=O)O)Cc1ccncc1,10.5,0100000,0100000100,00010000000000010
3c,c1cc2c3c4c1C(=O)N(C(=O)c4ccc3C(=O)N(C2=O)c1ccc(cc1)C(=O)O)CCN(C)C,10.9,0100000,0100000100,00020000000000001
EA-54,c1(ccc(cc1)C(=O)O)c1cc(c(s1)c1cc(c(s1)c1ccc(cc1)N(c1ccccc1)c1ccccc1)CCCCCC)CCCCCC,11.22,0100000,6200020000,10000000001000000
EA-63,c1(ccc(cc1)C(=O)O)c1cc(c(s1)c1cc(c(s1)c1ccc(cc1)n1c2ccccc2c2c1cccc2)CCCCCC)CCCCCC,11.24,0100000,6200020000,01000000001000000
CNPPA,c1cc(ccc1C#N)P(=O)(O)O,11.65,1000000,0100000000,00000010000000000
EA-41,c1(ccc(cc1)C(=O)O)c1cc(c(s1)c1cc(c(s1)Br)CCCCCC)CCCCCC,11.89,0100000,6100020000,00003000000000000
EA-49,c1(ccc(cc1)C(=O)O)c1cc(c(s1)c1cc(c(s1)c1cc(cc(c1)OC)OC)CCCCCC)CCCCCC,12.03,0100000,6100020000,00000101010000000
3b,c1cc2c3c4c1C(=O)N(C(=O)c4ccc3C(=O)N(C2=O)c1ccc(cc1)C(=O)O)CCc1ccncc1,12.2,0100000,0100000100,00020000000000010
EA-58,c1(ccc(cc1)C(=O)O)c1cc(c(s1)c1cc(c(s1)c1ccc(cc1)N(c1ccc(cc1)OC)c1ccc(cc1)OC)CCCCCC)CCCCCC,13.71,0100000,6200020000,10000100001000000
XS9,c1ccc2c(c1)c1c(o2)c2c(cc1)n(c1c2cccc1)c1ccc(cc1)C=C(P(=O)(O)O)C#N,15.77,0000001,0100000000,03000001100000000
XS8,c1ccc2c(c1)c1c(s2)c2c(cc1)n(c1c2cccc1)c1ccc(cc1)C=C(P(=O)(O)O)C#N,16.11,0000001,0100000000,03000001200000000
TPT-S6,c1c(ccc(c1)c1ccc2c(c1)Sc1c(ccc(c1)c1ccc(cc1)N(c1ccc(cc1)OC)c1ccc(cc1)OC)N2CCCCCCS(=O)(=O)O)N(c1ccc(cc1)OC)c1ccc(cc1)OC,16.16,0000100,6000000000,10100101001000000
MC-45,c1(ccc(cc1)N(c1ccc(cc1)OC)c1ccc(cc1)c1ccc(cc1)C(=O)O)OC,16.69,0100000,0200000000,10000100001000000
FNE29,c1ccc(cc1)N(c1ccccc1)c1ccc(cc1)c1sc(c(c1)CCCCCC)c1cc(c(s1)c1sc(c(c1)CCCCCC)C=C(C#N)C(=O)O)CCCCCC,16.75,0000010,6100030000,10000000001000000
4PACz,c1ccc2c(c1)c1c(n2CCCCP(=O)(O)O)cccc1,16.93,1000000,4000000000,01000000001000000
FA,c1c(ccc(c1)F)CC(=O)O,16.99,0100000,1100000000,00001000000000000
MC-43,N(c1ccc(cc1)c1c(cc(cc1)OC)OC)(c1ccc(cc1)c1ccc(cc1OC)OC)c1ccc(cc1)c1ccc(cc1)C(=O)O,17.3,0100000,0200000000,10000201021000000
TPA-PT-C6,c1cc(ccc1OC)N(c1ccc(cc1)OC)c1ccc(cc1)c1ccc2c(c1)Sc1cc(c3ccc(N(c4ccc(cc4)OC)c4ccc(cc4)OC)cc3)ccc1N2CCCCCCC(=O)O,17.49,0000010,0200000000,10000000001000000
V1036,c1cc(ccc1OC)N(c1ccc2c(c1)c1c(n2CCP(=O)(O)O)ccc(c1)N(c1ccc(cc1)OC)c1ccc(cc1)OC)c1ccc(cc1)OC,17.5,1000000,2000000000,11000100001000000
TPA-CA,c1cc(ccc1N(c1ccccc1)c1ccccc1)/C=C(\C#N)/C(=O)O,17.58,0000010,0100000000,10000000001000000
PAAQ,c1ccc2c(c1)C(=O)c1c(C2=O)ccc(c1)OCCCP(=O)(O)O,17.8,1000000,3000000000,00000100000010000
TFA,c1c(ccc(c1)C(F)(F)F)CC(=O)O,18.55,0100000,1100000000,00011000041000000
BCBBr-C4PA,c12ccc3c(c1cccc2)c1c(n3CCCCP(=O)(O)O)ccc(c1)Br,18.63,1000000,4000000000,02003001000000000
CbzPh,c1ccc2c(c1)c1c(n2CCCCP(=O)(O)O)ccc2c1cccc2,19.2,1000000,4000000000,02000001000000000
Cbz2S,c1ccc2c3c1ssc1c3c(n2CCCCP(=O)(O)O)ccc1,19.23,1000000,4000000000,01000000201100000
Br-2PACz,c1cc2c(cc1Br)c1c(n2CCP(=O)(O)O)ccc(c1)Br,19.51,1000000,2000000000,01003000001000000
DCB-BPA,c1(cc2c(c3c1cccc3)c1c(cc(c3c1cccc3)Br)n2CCCCP(=O)(O)O)Br,19.53,1000000,4000000000,02003001011000000
RC-25,N(c1ccc(cc1)c1c(ccc(c1)OC)OC)(c1ccc(cc1)c1c(ccc(c1)OC)OC)c1ccc(cc1)c1ccc(cc1)C(=O)O,19.6,0100000,0200000000,10000201031000000
MPA-BT-RA,c1c(ccc(c1)c1ccc(c2c1nsn2)/C=C/1\C(=O)N(C(=S)S1)CC(=O)O)N(c1ccc(cc1)OC)c1ccc(cc1)OC,19.65,0100000,1101000001,10000100001000000
RC-34,N(c1ccc(cc1)c1ccc(c(c1)OC)OC)(c1ccc(cc1)c1ccc(c(c1)OC)OC)c1ccc(cc1)c1ccc(cc1)C(=O)O,19.7,0100000,0200000000,10000201011000000
RC-24,N(c1ccc(cc1)c1c(cc(cc1)OC)OC)(c1ccc(cc1)c1c(cc(cc1)OC)OC)c1ccc(cc1)c1ccc(cc1)C(=O)O,19.8,0100000,0200000000,10000201021000000
Cz-CA,c1cc(ccc1n1c2ccc(cc2c2c1ccc(c2)OC)OC)/C=C(\C#N)/C(=O)O,20.17,0000010,0100000000,01000100001000000
2TFA,c1c(cc(cc1C(F)(F)F)C(F)(F)F)CC(=O)O,20.19,0100000,1000000000,00011010021000000
TPA-Ph-CA,c1cc(ccc1c1ccc(N(c2ccccc2)c2ccccc2)cc1)/C=C(\C#N)/C(=O)O,20.26,0100000,6000000000,10100101001000000
XS10,c1ccc2-c3c(C(c2c1)(C)C)cc1c(c3)c2c(n1c1ccc(cc1)C=C(P(=O)(O)O)C#N)cccc2,20.28,0000001,0100000000,03020001000000000
MPA-2FBT-BA,c1c(ccc(c1)c1c(c(c(c2c1nsn2)c1ccc(cc1)C(=O)O)F)F)N(c1ccc(cc1)OC)c1ccc(cc1)OC,20.32,0100000,0203100000,10000100001000000
MPA-CA,c1cc(ccc1N(c1ccc(cc1)OC)c1ccc(cc1)OC)/C=C(\C#N)/C(=O)O,20.36,0000010,0100000000,10000100001000000
MPA-BT-BA,c1c(ccc(c1)c1ccc(c2c1nsn2)c1ccc(cc1)C(=O)O)N(c1ccc(cc1)OC)c1ccc(cc1)OC,20.58,0100000,0201000000,10000100001000000
DT-1,c1ccc(cc1)N(c1ccccc1)c1ccc(cc1)c1cc2c(s1)c1c(n2CCCCCC)c2c(c3c1nn(n3)CCCCCC)c1c(n2CCCCCC)cc(s1)C=C(C#N)C(=O)O,20.65,0000010,0100000010,10000000001000000
Cz-Ph-CA,c1cc(ccc1c1ccc(n2c3ccc(cc3c3c2ccc(c3)OC)OC)cc1)/C=C(\C#N)/C(=O)O,20.66,0000010,0200000000,01000100001000000
2PACz,c1ccc2c(c1)c1c(n2CCP(=O)(O)O)cccc1,20.9,1000000,2000000000,01000000001000000
EADR04,c1cc(ccc1n1c2c(c3c1ccc(c3)c1c(cc(cc1)OC)OC)cc(cc2)c1c(cc(cc1)OC)OC)c1ccc(C(=O)O)cc1,21,0100000,0200000000,01000201021000000
Br-2EPO,N1(c2ccc(cc2Oc2c1ccc(c2)Br)Br)CCP(=O)(O)O,21,1000000,2000000000,00103000101000000
MeO-PhPACz,c1(ccc2c(c1)c1c(n2c2ccc(cc2)P(=O)(O)O)ccc(c1)OC)OC,21.1,1000000,0100000000,01000100001000000
EADR03,c1cc(ccc1n1c2c(c3c1ccc(c3)c1ccc(cc1OC)OC)cc(cc2)c1c(cc(cc1)OC)OC)C(=O)O,21.2,0100000,0100000000,01000201021000000
Cbz2SMe,c1ccc2c(c1SC)c1c(n2CCCCP(=O)(O)O)cccc1SC,21.22,1000000,4000000000,01000100201000000
Ph-2PACz,c1(ccc2c(c1)c1c(n2CCP(=O)(O)O)ccc(c1)c1ccccc1)c1ccccc1,21.3,1000000,2000000000,01000001001000000
TPT-P6,c1c(ccc(c1)c1ccc2c(c1)Sc1c(ccc(c1)c1ccc(cc1)N(c1ccc(cc1)OC)c1ccc(cc1)OC)N2CCCCCCP(=O)(O)O)N(c1ccc(cc1)OC)c1ccc(cc1)OC,21.43,1000000,6000000000,10100101001000000
PANDI,c1(ccc(c(c1)N1C(=O)c2c3c(C1=O)ccc1c3c(cc2)C(=O)N(C1=O)CP(=O)(O)O)C(C)(C)C)C(C)(C)C,21.5,1000000,1000000100,00040001030000000
PPAOMe,c1c(ccc(c1)c1ccc(c2c1nsn2)P(=O)(O)O)N(c1ccc(cc1)OC)c1ccc(cc1)OC,21.52,1000000,0101000000,10000100001000000
2FMPA-BT-CA,c1(c(cc(c(c1)c1ccc(c2c1nsn2)/C=C(\C#N)/C(=O)O)F)N(c1ccc(cc1)OC)c1ccc(cc1)OC)F,21.68,0000010,0021100000,10000100001000000
CbzBF,c1ccc2c(c1)c1c(n2CCCCP(=O)(O)O)ccc2c1oc1c2cccc1,21.72,1000000,4000000000,03000001100000000
MPA-BT-CA,c1c(ccc(c1)c1ccc(c2c1nsn2)/C=C(\C#N)/C(=O)O)N(c1ccc(cc1)OC)c1ccc(cc1)OC,21.81,0000010,0101000000,10000100001000000
2BrPTZPA,c1(ccc2c(c1)Sc1c(N2CCCCP(=O)(O)O)ccc(c1)Br)Br,22.06,1000000,4000000000,00103000201000000
CbzBT,c1ccc2c(c1)c1c(n2CCCCP(=O)(O)O)ccc2c1sc1c2cccc1,22.08,1000000,4000000000,03000001200000000
9CPA,c1cc2c(cc1)c1c(n2CCC(=O)O)cccc1,22.1,0100000,2000000000,01000000001000000
FMPA-BT-CA,c1c(cc(c(c1)c1ccc(c2c1nsn2)/C=C(\C#N)/C(=O)O)F)N(c1ccc(cc1)OC)c1ccc(cc1)OC,22.37,0000010,0011100000,10000100001000000
TDPA-CI,c1(ccc2c(c1)Sc1c(N2CCCCP(=O)(O)O)ccc(c1)Cl)Cl,22.4,1000000,4000000000,00102000201000000
Br-2EPT,N1(c2ccc(cc2Sc2c1ccc(c2)Br)Br)CCP(=O)(O)O,22.44,1000000,2000000000,00103000201000000
MPA-Ph-CA,c1cc(ccc1c1ccc(N(c2ccc(cc2)OC)c2ccc(cc2)OC)cc1)/C=C(\C#N)/C(=O)O,22.53,0000010,0200000000,10000100001000000
MTPA-BA,N(c1ccc(cc1)C)(c1ccc(cc1)C)c1ccc(cc1)B(O)O,22.62,0001000,0100000000,10010000001000000
Br-2EPSe,N1(c2ccc(cc2[Se]c2c1ccc(c2)Br)Br)CCP(=O)(O)O,22.7,1000000,2000000000,00103000301000000
2BrPXZPA,c1(ccc2c(c1)Oc1c(N2CCCCP(=O)(O)O)ccc(c1)Br)Br,22.93,1000000,4000000000,00103000101000000
9CAA,c1cc2c(cc1)c1c(n2CC(=O)O)cccc1,23.1,0100000,1000000000,01000000001000000
PPA2,c1c(ccc(c1)c1ccc(c2c1nsn2)P(=O)(O)O)N(c1ccccc1)c1ccccc1,23.24,1000000,0101000000,10000000001000000
MPA-2FPH-BT-BA(2F),N(c1cc(c(cc1F)c1ccc(c2c1nsn2)c1ccc(cc1)C(=O)O)F)(c1ccc(cc1)OC)c1ccc(cc1)OC,23.24,0100000,0121100000,10000100001000000
CbzNaph,c12ccc3c(c1cccc2)c1c(n3CCCCP(=O)(O)O)ccc2c1cccc2,24.1,1000000,4000000000,02000001001000000
S-4PADCB,c12c(c3c(n1CCCCP(=O)(O)O)ccc1c3cccc1)c1c(cc2)cccc1,24.18,1000000,4000000000,02000001001000000
MeO-4PADBC,c1cc2c(c3c1cc(cc3)OC)c1c(ccc3c1ccc(c3)OC)n2CCCCP(=O)(O)O,24.2,1000000,2000000000,01000100001000000
Me-4PACz,c1(ccc2c(c1)c1c(ccc(c1)C)n2CCCCP(=O)(O)O)C,24.5,1000000,4000000000,01010000001000000
MeO-BTBT,c1(ccc2c(c1)sc1c2sc2c1ccc(c2)CCCCP(=O)(O)O)OC,24.53,1000000,4000000000,00000100000001000
DC-TMPS,c1ccc2c(c1)c1c(n2c2ccc(cc2)[Si](OC)(OC)OC)cccc1,24.56,0010000,0100000000,01000000001000000
Ph-4PACz,c1(ccc2c(c1)c1c(n2CCCCP(=O)(O)O)ccc(c1)c1ccccc1)c1ccccc1,25.01,1000000,4000000000,01000001001000000
A-4PADCB,c1ccc2c(c1)c1c(n2CCCCP(=O)(O)O)c2c(c3c1cccc3)cccc2,25.05,1000000,4000000000,02000002000000000
MPA-CPA,c1(ccc(cc1)N(c1ccc(cc1)OC)c1ccc(cc1)OC)/C=C(\C#N)/P(=O)(O)O,25.16,0000001,0100000000,10000100001000000
I-2PACz,c1cc2c(cc1I)c1c(n2CCP(=O)(O)O)ccc(c1)I,25.39,1000000,2000000000,01004000001000000
MeO-2PACz,c1(ccc2c(c1)c1c(n2CCP(=O)(O)O)ccc(c1)OC)OC,25.58,1000000,4000000000,02000101001000000
DMAcPA,c1(ccc2c(c1)C(c1c(N2CCCCP(=O)(O)O)ccc(c1)Br)(C)C)Br,25.86,1000000,4000000000,00123000001000000
Me-PhpPACz,c1(ccc2c(c1)c1c(n2c2ccc(cc2)P(=O)(O)O)ccc(c1)C)C,26.17,1000000,0100000000,01010000001000000
